pair,frame,left_arm_raise_bad,left_arm_raise_good,right_arm_raise_bad,right_arm_raise_good,left_elbow_angle_bad,left_elbow_angle_good,right_elbow_angle_bad,right_elbow_angle_good,torso_lean_bad,torso_lean_good,arm_symmetry_bad,arm_symmetry_good,left_wrist_above_shoulder_bad,left_wrist_above_shoulder_good,right_wrist_above_shoulder_bad,right_wrist_above_shoulder_good
1,0,67.73077728660923,56.225246069113744,20.581573864186446,22.66149752359065,136.11303285044517,132.25742723964956,113.47964128833759,109.81339396315892,110.61740114645836,91.00090912987,47.14920342242278,33.5637485455231,-0.01969665288925171,-0.057464152574539185,0.021428734064102173,-0.040145277976989746
1,1,65.53049884666372,55.81924827981881,17.427159449247043,25.364458158125416,138.27892435566235,136.98541533970175,120.30478566613432,109.27274034710338,111.26786801121332,91.09087668876293,48.103339397416676,30.454790121693392,-0.019506007432937622,-0.059324026107788086,0.021268248558044434,-0.039832234382629395
1,2,61.43424137062861,51.810641457307035,19.004599936373218,24.50446808429912,133.82623501792943,138.30420975065104,115.23733661025794,113.22113052833814,111.39578525867057,90.64035272513198,42.429641434255394,27.306173373007915,-0.0173703134059906,-0.06065872311592102,0.021914303302764893,-0.039230674505233765
1,3,74.06961681221705,53.376644869738904,22.309025076464383,22.192688979956277,134.97710898492397,141.58781674677587,100.78232480445593,119.99184286236815,106.97089939430646,91.68531463330504,51.76059173575267,31.183955889782627,-0.015351414680480957,-0.05990429222583771,0.021015316247940063,-0.03730699419975281
1,4,59.556521282233994,48.48797366981195,28.983889925000128,25.04061031035482,138.98249987169393,140.9103162156403,112.69047547890368,114.50432927405134,115.35727961796277,91.87723490843746,30.572631357233867,23.447363359457132,-0.014267116785049438,-0.05942465364933014,-0.020596683025360107,-0.03621101379394531
1,5,40.8305838317309,49.84083677171512,64.29515862139833,23.007582163568,140.85769794484557,141.82212290700699,109.93548292887563,115.82760920766364,113.94843322714789,92.24674747575581,23.46457478966743,26.83325460814712,-0.013329267501831055,-0.05731520056724548,-0.11238148808479309,-0.0362984836101532
1,6,65.27597975125829,49.879717645479914,75.52961835252451,24.04512528488359,145.10722587109638,145.23162821808833,125.53222535100922,118.70245403575692,108.06205501572175,91.88864804960937,10.253638601266218,25.834592360596325,-0.001112908124923706,-0.04628579318523407,-0.17784032225608826,-0.05611604452133179
1,7,79.39620187603602,64.4050417184981,101.45016996517496,54.60249724933945,151.43342655826777,147.6453184879782,144.14000019628168,103.89477007358444,102.91386781501356,92.55763413293153,22.053968089138948,9.802544469158647,0.04465894401073456,0.01191122829914093,-0.18585768342018127,-0.13596776127815247
1,8,95.60682428609127,66.1491479337304,105.67190500418538,72.67165635404564,145.38733810516,156.5109797261184,170.92290003429656,115.09789199030442,99.31011587395268,92.96314081103844,10.065080718094109,6.5225084203152335,0.07509206235408783,0.05264371633529663,-0.16265466809272766,-0.1708848476409912
1,9,106.8823411311675,82.53374468212866,100.6710158520632,86.07491536903815,151.25142949807804,154.0353060265655,173.0018054271534,114.92881290101644,97.27675264490986,92.82076261896401,6.211325279104287,3.5411706869094957,0.14237144589424133,0.07417143881320953,-0.13035541772842407,-0.18385112285614014
1,10,108.86865402003912,93.17879306609179,97.58734510337244,83.26869272407959,159.2564688003401,156.60957495185716,176.46413193889865,158.4119005414485,96.52436906709265,92.84933855205146,11.281308916666674,9.9101003420122,0.17586327344179153,0.11636635661125183,-0.12065497040748596,-0.18259212374687195
1,11,108.32053731062518,117.24522816530882,94.24618183871881,85.4658326255118,154.01779370048428,162.87306248460945,172.37187790029424,169.32782153935656,96.94424179209454,94.60151266424324,14.074355471906372,31.779395539797022,0.1422913298010826,0.139324389398098,-0.11824485659599304,-0.16292133927345276
1,12,104.74913887991714,117.47675246429236,97.89869861934542,89.44307656504866,158.37825737091728,164.60078344583528,168.32120562426636,173.08472261995408,97.72518784965,94.8831961548212,6.850440260571716,28.033675899243704,0.13177186250686646,0.15928634256124496,-0.1397877037525177,-0.15045258402824402
1,13,92.71470046456713,117.14225183523685,100.1992548755585,86.77541558919945,151.7210381769713,162.85553747209073,146.3359990198391,173.6935403960491,97.04667864640611,94.82459042662407,7.484554410991365,30.366836246037394,0.08904962241649628,0.16493606567382812,-0.16445186734199524,-0.14793118834495544
1,14,90.67368679535419,116.36506326334118,89.06820283810276,85.48738834292232,147.7239677515506,165.4870782974112,88.46838662038196,171.63556539958097,97.01024449359431,94.71411256894909,1.6054839572514226,30.87767492041887,0.010412320494651794,0.15401861816644669,-0.17967349290847778,-0.14837023615837097
1,15,61.13981872189185,106.50261202348713,80.98240163438172,88.1847062086795,141.67056559197675,163.89704460173454,106.12340164651033,146.82872550054415,99.56197437710452,93.242403196638,19.842582912489867,18.31790581480763,-0.026953041553497314,0.12449535727500916,-0.17120447754859924,-0.16764825582504272
1,16,42.62147663474272,86.78774816368187,71.93007358375262,88.32064206717799,144.39303666452443,156.89776609569856,93.98686793681567,124.66395902866304,103.61271860708469,92.39453593901747,29.308596949009896,1.5328939034961166,-0.030001193284988403,0.11722457408905029,-0.1481625735759735,-0.178561270236969
1,17,37.61858217250019,73.348828091338,34.95901054392676,80.83156139114561,121.4340048104253,154.82636329509722,113.04525483694907,111.65752684040022,105.38934229494093,92.46902956932949,2.659571628573431,7.482733299807606,-0.02697169780731201,0.09530939161777496,-0.0796453058719635,-0.17713645100593567
1,18,44.129222483173095,65.08239579184662,26.5224479580862,74.56227168091455,133.7263265070194,152.0038914868328,106.58424635285695,89.76239538500681,107.09172039890535,92.78789388622842,17.606774525086895,9.479875889067927,-0.017884880304336548,0.06642091274261475,-0.0273837149143219,-0.16067761182785034
1,19,52.237756285221316,47.924140320580634,26.37751537717179,43.929840422206425,139.61945486323572,145.754908643517,101.82147429301594,105.7367458794643,109.52058629991889,92.11597316727386,25.860240908049526,3.9942998983742086,-0.0036675333976745605,0.005813091993331909,0.008517414331436157,-0.10852468013763428
1,20,53.59411347557086,46.015851868832144,15.457951909118451,30.56088662791927,140.0527912921923,147.49273046944236,112.91128369137539,116.03821253288447,110.53830054102106,91.44043923335862,38.13616156645241,15.454965240912873,-0.001646280288696289,-0.024438410997390747,0.02598908543586731,-0.0777273178100586
1,21,62.19308241693887,37.069743406352835,18.313309322343656,28.976875887378764,140.9817916228918,148.35418386193254,111.91731835053874,120.18799564957368,110.5087025755243,90.65718298552915,43.879773094595215,8.09286751897407,-0.001127779483795166,-0.04372279345989227,0.029759258031845093,-0.0618741512298584
1,22,62.038208871608454,34.1662474567197,21.32450350961637,29.249230208083357,141.46835909720275,148.49450114381918,121.69754489266946,119.39795972682121,112.89739881942297,90.4931962169715,40.71370536199208,4.917017248636345,-0.003423333168029785,-0.049917981028556824,0.031993329524993896,-0.049076199531555176
1,23,61.30292875629904,43.13301257409708,22.398004829546608,30.608798319370212,139.05585478690352,151.06916103970414,120.43894546155244,118.966716290991,112.67236956445939,89.69844893374189,38.90492392675243,12.524214254726868,-0.004375368356704712,-0.051109835505485535,0.03081372380256653,-0.04855918884277344
1,24,64.4568911677171,43.29857874008579,22.357584781094886,31.372755260016273,138.7565056927428,149.24503942469693,112.19724726660826,113.98628788169754,110.60612827998966,89.32523147038518,42.09930638662222,11.925823480069514,-0.004450082778930664,-0.0507027804851532,0.03073960542678833,-0.04951038956642151
1,25,67.08291287894454,45.02161541649438,24.29106694878161,31.318853161887358,139.15817328540092,146.8529254470714,115.17530042095893,109.4858517931143,110.6248190963414,89.11854799137846,42.791845930162935,13.70276225460702,-0.0030838847160339355,-0.05019599199295044,0.0332513153553009,-0.04678270220756531
2,0,73.547621497833,45.354792539315675,35.662022505149366,28.20316027941363,128.884111369064,138.8067933865578,108.11170893113461,121.26715971086499,120.01387741884862,91.8747919287596,37.88559899268364,17.151632259902044,-0.02907964587211609,-0.05818656086921692,0.01093265414237976,-0.07158651947975159
2,1,74.84571864441877,53.278740174058264,33.71426494815923,44.68051627841853,131.23729462531358,136.92443653574978,106.11572211590348,111.4974249202732,120.82713784577821,92.031264264774,41.131453696259534,8.598223895639734,-0.028361350297927856,-0.04716682434082031,0.018432587385177612,-0.11403962969779968
2,2,75.4880312125941,74.25199393817294,31.387544099752787,63.70379098059798,131.0382636859889,145.2387039195728,104.85497498086112,104.44239094490219,119.54477461171737,92.00913813298712,44.10048711284131,10.548202957574965,-0.02801916003227234,-0.022231578826904297,0.023740708827972412,-0.16231122612953186
2,3,74.79737842979449,81.63984117921046,29.150843515198353,85.99021660770114,132.36086313535006,147.19039815481105,104.65708476354536,113.26822829756182,119.79533289958546,92.62504359988768,45.64653491459614,4.350375428490679,-0.02715340256690979,0.01114538311958313,0.028355658054351807,-0.19046318531036377
2,4,74.84746062637485,84.8336563236309,34.257052397920354,99.44393228444791,135.11153884885894,131.49916885718847,101.99861712752747,128.7449853099421,120.87234182459797,91.47632395136573,40.5904082284545,14.610275960817006,-0.026797771453857422,0.013970434665679932,-0.0004950165748596191,-0.19204235076904297
2,5,53.52495455507495,92.80941661153922,65.06410790027479,97.12307239209525,139.76711516250296,119.21074811981589,97.66262514760501,158.18685850679609,124.68692613815321,91.7534188968733,11.539153345199843,4.313655780556033,-0.028045237064361572,0.04752209782600403,-0.07705190777778625,-0.18438971042633057
2,6,36.88453306890748,118.28981138938059,80.85486549400007,92.92083372051957,145.23547994385936,143.01486288429132,109.44698123108748,160.35828537158358,118.44494188322048,91.98280954369041,43.970332425092586,25.36897766886102,-0.027849018573760986,0.04807363450527191,-0.14831110835075378,-0.17288872599601746
2,7,70.32963152808733,124.66575226769403,67.39566293727385,96.5253648491657,159.9876287730553,161.340347266146,165.5153595746042,171.0345053329117,112.39765402114737,93.31753664901484,2.9339685908134783,28.140387418528334,0.003832876682281494,0.11716911196708679,-0.1707015037536621,-0.15752995014190674
2,8,92.4474795370557,125.8908920968573,114.94955559760034,88.23665644005486,157.823177684146,162.24952588949864,171.67874588659285,176.57591233325192,104.89104507815178,93.4086361928717,22.50207606054464,37.65423565680244,0.0401749461889267,0.11558756232261658,-0.15461605787277222,-0.15362241864204407
2,9,110.01474621397965,125.07521800375278,109.06697687826892,79.82111533814688,151.4411769293998,158.3100197127737,178.8715335287104,174.39987008588858,101.5239970661632,93.0089773246573,0.9477693357107313,45.2541026656059,0.10041919350624084,0.09661449491977692,-0.12064129114151001,-0.15347176790237427
2,10,115.05858949039302,111.4808223874355,83.10648784060018,84.12288148100434,163.3091823870228,130.01972004786873,176.17595058144983,163.72718336516016,100.56532853449862,90.85441805021337,31.952101649792837,27.357940906431153,0.1768212392926216,0.0756426751613617,-0.021700531244277954,-0.16020280122756958
2,11,117.71630350781508,106.47121666574074,92.12080758929267,85.0242174848125,166.52905222003574,138.2849586811599,177.5666428639167,134.52474310823396,100.3043902045835,90.91114353578759,25.595495918522417,21.446999180928245,0.18165265023708344,0.0679870992898941,-0.026930034160614014,-0.16809779405593872
2,12,110.73480849189531,87.92187535993166,85.71314037706011,85.17223716644119,149.54898455794302,141.99234900694088,162.6904873552753,116.46235744788832,101.33858744790327,90.3949182905504,25.021668114835194,2.749638193490469,0.11873598396778107,0.06428946554660797,-0.09470942616462708,-0.17375579476356506
2,13,98.97313985630753,74.62108647452618,96.02764419029403,79.80301840080529,138.52147184906056,149.4151228047779,166.5658554122726,101.8885649349678,102.53762202378815,89.93159795272508,2.9454956660134997,5.1819319262791055,0.05532778799533844,0.055055126547813416,-0.14415356516838074,-0.16975560784339905
2,14,82.94977928919376,64.10781433701146,87.39627775187567,71.73089303437769,140.62261995284481,146.07896891817742,100.22804820434354,75.0769966965088,104.82165141490184,89.90081782129386,4.446498462681916,7.623078697366225,0.00020164251327514648,0.027929946780204773,-0.1641639769077301,-0.14612343907356262
2,15,49.07780861377084,51.832050486185665,86.9614670025385,58.06487104666371,130.76676046220544,141.57948706378912,108.610875914264,86.0030268409047,109.74363030577334,89.99664716275994,37.88365838876766,6.2328205604780464,-0.02750334143638611,0.005139216780662537,-0.15946653485298157,-0.12091687321662903
2,16,55.24932784740165,55.97608911144401,78.36957499591374,39.9953628162248,129.85016076362447,145.00088455702237,102.55532302781238,98.47099334040661,113.17912800443248,90.08520481505255,23.120247148512085,15.980726295219213,-0.03375434875488281,-0.022297292947769165,-0.14536386728286743,-0.10303601622581482
2,17,58.83737606572114,53.02112149912231,49.2987898953878,33.290042444815114,136.2162145111184,142.02351358823717,98.83344404975368,102.2592450410894,113.7055242914523,90.04783691345851,9.538586170333339,19.731079054307195,-0.027295798063278198,-0.0390191525220871,-0.08792388439178467,-0.08133494853973389
2,18,69.18551405980723,44.27228209072675,30.941260251669206,32.96359916522036,137.8874923497451,139.64695978965827,91.73662953135886,103.97671878049948,111.81346225859753,89.46541629523068,38.244253808138026,11.308682925506389,-0.014817297458648682,-0.059960633516311646,-0.03927430510520935,-0.050407588481903076
2,19,77.30001334344905,39.975915819340074,26.230306183301842,31.035710511568627,135.4430010810565,141.376532377981,91.25730969170723,108.38104990625288,113.845592754488,89.4300171810963,51.06970716014721,8.940205307771446,-0.005821794271469116,-0.06342059373855591,-0.005351543426513672,-0.04656997323036194
2,20,77.77332586450957,37.57764161680813,24.383574640693922,28.947996744048524,138.70770020164107,141.42941255759612,90.4748703467754,115.25187263163254,115.5156729611339,89.36183680602373,53.38975122381565,8.629644872759606,0.0016456544399261475,-0.06424643099308014,0.012054204940795898,-0.04521358013153076
2,21,72.68901085886135,41.78428672848666,22.292337204121658,31.13032510994684,133.3651829525434,142.63202278595207,95.83592751931506,108.85410933314063,118.33864269682105,88.99789454228998,50.39667365473969,10.653961618539824,0.000521242618560791,-0.06321990489959717,0.02486318349838257,-0.04614827036857605
2,22,71.50008409849207,43.03254392129131,22.765611413145656,30.287223494465778,134.116979253366,140.55251859326756,95.47748332127604,105.41858058912457,120.05305467945783,88.86150839669278,48.73447268534641,12.74532042682553,-0.001393139362335205,-0.06167398393154144,0.03203099966049194,-0.04737204313278198
2,23,71.01773940586139,38.39835589732303,20.4577682893814,35.689185726921075,131.72094639678755,138.78371698244592,95.03616025361029,102.69510353677595,118.54137867732302,89.0718184510856,50.55997111647999,2.709170170401954,-0.0050550103187561035,-0.06015898287296295,0.030827730894088745,-0.04728946089744568
2,24,76.2539029626187,36.92972255879913,20.054312866278593,36.60739820984636,135.36123976666258,138.49599313568453,93.82617091703385,103.33563410445683,116.93830674857766,88.9325017769035,56.1995900963401,0.32232434895276896,-0.005450934171676636,-0.06148757040500641,0.031097501516342163,-0.04843500256538391
3,0,68.0947238195222,43.63009663262096,35.19115433813474,31.770814528896057,119.07090625076385,138.42026536446022,124.3055548774052,123.54282071120903,121.60936965442879,85.75369265050344,32.903569481387464,11.859282103724905,0.004644930362701416,-0.07650801539421082,0.027201145887374878,-0.057414501905441284
3,1,70.64870982080704,47.93823059117891,36.09398860759355,33.41059742922065,122.95676745842131,142.38311301755422,111.37682692634263,119.05839032298695,122.7658360826476,86.06045361624783,34.55472121321349,14.527633161958256,0.0069509148597717285,-0.07168041169643402,0.035507380962371826,-0.08403384685516357
3,2,74.54165016617083,63.71955261694482,29.861642024614827,40.29807749132262,127.87736635013665,144.9084828934441,101.89648790508026,116.93627100741013,118.7586101281997,86.72774017433305,44.680008141556,23.421475125622194,0.006431788206100464,-0.05997827649116516,0.036535292863845825,-0.12532630562782288
3,3,67.90036953811725,93.22147911106372,35.11365166245843,77.98993248499896,130.33843907094075,151.55672071473384,95.47957451501398,115.33810159651978,119.06484086329735,90.23165775356915,32.786717875658816,15.231546626064755,0.0019323527812957764,-0.005543127655982971,-0.016048312187194824,-0.19671082496643066
3,4,47.75720220615783,91.1837368791666,64.47999131058162,96.32023516589899,141.52749677388638,142.6020596501762,102.08424655710108,125.63247853416487,125.57038650595827,89.95962127184522,16.722789104423796,5.13649828673239,-0.0025039315223693848,0.009312421083450317,-0.10362961888313293,-0.19678059220314026
3,5,67.23812250322715,93.49426952554595,80.338723836727,102.9791367786563,148.9087459553205,131.40972805221705,114.07022422385188,158.0925146156795,116.21225703750613,90.38059023900242,13.100601333499853,9.484867253110352,0.011652529239654541,0.04656307399272919,-0.1598200500011444,-0.18089988827705383
3,6,82.26956550089172,110.02917453390918,104.2993322275559,97.59405355344917,148.13682511940362,148.09470145138823,140.36883708200207,176.52052565958627,108.7189278126146,91.79680097719151,22.029766726664178,12.435120980460013,0.0691552609205246,0.07125319540500641,-0.15399447083473206,-0.1600286364555359
3,7,86.63469083161758,122.68848241204476,120.73451399287066,91.96085670417014,157.33109994548482,167.3676823787779,171.2034624646254,176.6962571541536,102.7775558378003,93.2797407599487,34.099823161253084,30.727625707874623,0.12051181495189667,0.15472346544265747,-0.11342591047286987,-0.13669562339782715
3,8,108.9294095969394,123.58311468717784,107.40715716360965,91.68255430709436,159.1099807466709,162.8634788348695,168.422216423993,177.62934953691894,100.96824105995738,93.22094419955306,1.52225243332974,31.900560380083476,0.18251542747020721,0.14759311825037003,-0.07348334789276123,-0.13079005479812622
3,9,110.60055338165277,124.64034587177525,68.79899389315477,86.94518131328823,155.94873639419092,165.18047020778127,160.8324871396057,177.1721866361509,101.52104626516854,93.25310703591273,41.801559488498,37.69516455848702,0.19197579473257065,0.13567746430635452,0.05394604802131653,-0.13055670261383057
3,10,110.15441300063037,119.40194884610848,95.68258646396701,87.23935713066517,143.79595159581868,154.84499518336403,169.2047290353032,175.74073640065373,100.86846514682611,92.67109260669419,14.471826536663357,32.16259171544331,0.13904093205928802,0.11432385444641113,-0.06259039044380188,-0.14252513647079468
3,11,103.62879545331657,102.62146777444819,87.82106030875164,80.64237251892479,146.79510652309912,136.89789563524843,158.83009112527304,162.8673169626146,100.78715056910681,91.31008159253463,15.80773514456493,21.979095255523404,0.11071813106536865,0.09675896167755127,-0.1306130588054657,-0.1583491563796997
3,12,99.50623199347642,85.67493992237401,96.63469484112527,85.73774296427301,141.44204509166295,145.86638698112168,82.51799120048639,111.21675948932364,101.45701250265847,90.9800424931727,2.871537152351152,0.06280304189900221,0.03440555930137634,0.05328617990016937,-0.1599389910697937,-0.1755204200744629
3,13,66.62376291918315,82.2614479159165,88.30977386122761,80.14202130088786,132.68569858776084,151.0575609009311,84.00007808992598,111.45890245301497,102.30301916333482,90.50638882415106,21.68601094204446,2.119426615028644,-0.019813477993011475,0.03793361783027649,-0.17075049877166748,-0.17584383487701416
3,14,47.329063834647464,60.497373555310936,76.36800575001139,73.23527986639056,132.32391053905727,144.51213183120834,101.21682572347353,93.4447493593064,104.26437966460631,90.22782516711133,29.038941915363928,12.73790631107962,-0.03962254524230957,0.016011789441108704,-0.15148788690567017,-0.1740463674068451
3,15,43.96035676491746,60.94547210869676,54.32046256681014,55.01697297459898,136.59736563192644,148.97925921346206,106.14198651405785,97.50747317212097,106.57460191112679,90.22616538074486,10.360105801892686,5.928499134097784,-0.04160997271537781,-0.008635714650154114,-0.13209298253059387,-0.15297076106071472
3,16,53.98051885952959,55.036812532252995,31.367836830712687,49.167007081501616,134.76896290499766,145.82652737853118,98.9479016359701,101.13471355023555,107.43306273422934,90.15725179153249,22.612682028816902,5.869805450751379,-0.03336253762245178,-0.029873043298721313,-0.06313595175743103,-0.1271594762802124
3,17,63.742979143936296,38.50449175504121,34.90444136653205,35.82098184921324,144.72773640174933,147.9947936711915,97.37597587727649,118.54462621462373,110.98009545999544,90.36566663172529,28.838537777404248,2.683509905827968,-0.02345740795135498,-0.061485931277275085,-0.014494717121124268,-0.07825595140457153
3,18,61.47998351526034,30.767156277207143,33.55403865989431,39.417971093595455,142.4990538251961,145.76393735218534,103.06794958529565,114.96592031539919,113.43983063734971,90.73222471863195,27.925944855366033,8.650814816388312,-0.013907194137573242,-0.06433773040771484,0.010989993810653687,-0.061622828245162964
3,19,70.4692111840548,31.155793223110887,19.515919850955775,38.108744567280695,141.91060957228873,143.32901537869287,106.23865354773851,109.55035742932768,113.28954147098466,91.0119745119115,50.953291333099024,6.952951344169808,-0.007483363151550293,-0.06703008711338043,0.02152004837989807,-0.048922717571258545
3,20,71.21213606202627,40.486055268565366,16.710400402483696,29.49037794304932,140.71843182202394,143.36011353256387,107.17998921091743,112.9606866274643,112.51798361059974,91.0708804334896,54.501735659542575,10.995677325516045,-0.0026624202728271484,-0.07025149464607239,0.02805328369140625,-0.045680105686187744
3,21,69.97919553386981,38.2861194140655,18.39932561996625,33.82842337201526,140.4202629062561,141.4133526751633,104.51164485009902,109.9195885771279,113.53924293686624,91.24162216300009,51.579869913903565,4.4576960420502445,-0.0020276904106140137,-0.06677074730396271,0.03154134750366211,-0.042407095432281494
3,22,72.00916841072707,29.78099597704865,15.70169217738606,35.861591051706974,140.46311258192793,138.63172040062418,111.28522792952147,109.70824103815461,114.27112162987244,91.19911177776284,56.30747623334101,6.080595074658323,-0.0010235905647277832,-0.0658322125673294,0.03437313437461853,-0.04205384850502014
3,23,62.67287442342958,36.66114123617065,17.82438512235351,35.53180254891218,141.91456663845048,138.9374384565337,109.77892476633717,108.77293802913572,116.17674065269617,91.16027718550922,44.84848930107607,1.1293386872584676,0.00014784932136535645,-0.06668692827224731,0.03387451171875,-0.04243612289428711
4,0,71.67616155827807,55.76533013244456,29.20379501288455,40.57426767202044,134.19562930899664,145.7811945503907,114.47790014540423,118.46201421082368,118.04362630506257,88.41480139538149,42.47236654539351,15.19106246042412,-0.013626247644424438,-0.06180691719055176,0.02696850895881653,-0.11119166016578674
4,1,70.44905534877338,69.48145376660581,27.076805403246933,51.13738227630241,133.30212424140566,145.87494489028836,115.62500889684769,109.50352898519436,118.3504132812867,88.58860712084427,43.37224994552645,18.3440714903034,-0.013205885887145996,-0.055072709918022156,0.03184056282043457,-0.1348167359828949
4,2,71.19298775615133,72.94352782785633,28.066662478783474,67.27053345031567,132.25173115788454,144.92226552029553,111.87030273188851,99.19498425709504,118.9865973436874,88.7739674233194,43.126325277367854,5.672994377540661,-0.010402530431747437,-0.03568628430366516,0.03476259112358093,-0.1579677164554596
4,3,70.16509422382532,77.91751116131717,31.28211734808044,82.5283557508995,131.20396505772345,144.0216455624252,107.95093996811998,108.10561493855685,121.71163822328529,88.67672063127071,38.88297687574488,4.610844589582328,-0.005396366119384766,-0.013836503028869629,0.0401950478553772,-0.1786487102508545
4,4,69.58960356205758,92.11998128674219,28.671830459914588,84.97834489315271,132.8214948532743,146.97153194005125,114.18870126743218,116.08757035637628,121.66950608512953,88.78321850178645,40.91777310214299,7.141636393589479,-0.003588944673538208,0.0019814521074295044,0.039698272943496704,-0.18666329979896545
4,5,71.38425737384847,93.78314755497485,30.232412744339,91.93998969620131,136.08083894506981,134.4692589641505,100.30814379734991,152.0008857885074,119.03887555749667,87.45901149531514,41.15184462950947,1.8431578587735373,-0.005796343088150024,0.04059542715549469,-0.007474303245544434,-0.1849452257156372
4,6,44.871377377938,88.06081964581128,59.82426473450107,99.30929475751721,146.3680749029916,124.33773666760902,107.58471008207341,159.37138968741428,123.61176617392218,87.81131642868698,14.952887356563068,11.248475111705929,-0.014543473720550537,0.04812431335449219,-0.10216328501701355,-0.17971336841583252
4,7,49.21620939381294,115.38577113351975,72.19126136509087,91.57271038336921,145.311615932045,146.5475670026792,135.58265917647282,170.6952976072055,113.35062989320359,88.97224790951907,22.975051971277928,23.81306075015054,-0.0014570057392120361,0.058232396841049194,-0.16414982080459595,-0.17569413781166077
4,8,61.13364041231775,122.59560427745164,104.96407629158088,90.09794791578732,147.14631005356355,155.76012833165555,114.82369948803375,168.46068908984748,106.45107262017095,90.52798851501271,43.83043587926313,32.497656361664326,0.05822458863258362,0.09389699995517731,-0.169089674949646,-0.15838941931724548
4,9,72.83566622693462,127.11583628461685,128.44203625810277,92.05359670598335,143.99638746397935,164.1315268047129,167.06799671897468,177.6688467204218,101.21623886161971,91.00894594264385,55.606370031168154,35.062239578633495,0.08926528692245483,0.12647033482789993,-0.1369345486164093,-0.13503023982048035
4,10,98.8022009715975,128.7550933208458,122.95989810749772,87.73059694945441,156.07872117998195,166.49322411595026,178.1071938856559,175.568442326818,99.75216458787735,90.94303722127037,24.15769713590022,41.02449637139138,0.17536181211471558,0.14276381582021713,-0.11857560276985168,-0.11855202913284302
