video,exercise,frame,left_arm_raise,right_arm_raise,left_elbow_angle,right_elbow_angle,torso_lean,arm_symmetry,left_wrist_above_shoulder,right_wrist_above_shoulder
<<<<<<< HEAD
lateral raise_036.mp4,lateral raise,18,27.01775389181156,40.90952846437148,110.07295979738555,139.8130043801211,9.211835166109942,13.891774572559925,-0.21810466051101685,-0.25719815492630005
lateral raise_036.mp4,lateral raise,21,39.177793638114814,71.17730598370447,117.79124246670268,153.488406439171,7.927084416019505,31.999512345589658,-0.1542474329471588,-0.18093165755271912
lateral raise_036.mp4,lateral raise,24,51.93697593221398,88.05623461706763,108.76376604108982,162.44131827667468,5.850794943128392,36.11925868485365,-0.0935719907283783,-0.07805821299552917
lateral raise_036.mp4,lateral raise,27,65.02737089625879,89.44754632894701,97.76467409900467,159.42071555842435,7.300249517184431,24.420175432688225,-0.04180699586868286,-0.057542622089385986
lateral raise_036.mp4,lateral raise,30,74.78394587582288,83.87515522693866,91.41984309327064,153.33505219623783,2.0474185866963883,9.09120935111578,-0.004978090524673462,-0.008893758058547974
lateral raise_036.mp4,lateral raise,33,84.85689527617059,88.76732165795092,124.67106102716333,149.3143511855124,4.526552687130655,3.9104263817803258,0.025414466857910156,0.03432929515838623
lateral raise_036.mp4,lateral raise,36,86.13596290410158,87.79738358737846,107.91132021869643,145.28258331459486,4.111540656997546,1.6614206832768872,0.03675121068954468,0.053574174642562866
lateral raise_036.mp4,lateral raise,39,87.80851743802236,88.89228281751218,137.78415980957536,144.17711717723427,4.943439629019042,1.0837653794898188,0.03484436869621277,0.05408385396003723
lateral raise_036.mp4,lateral raise,42,83.5109746870064,89.4893914972522,109.38533893549307,150.39083473711614,4.439153571535233,5.978416810245804,0.016667664051055908,0.02671065926551819
lateral raise_036.mp4,lateral raise,45,77.81193955724984,86.52661647485337,111.77568684002821,153.1292624672416,4.6264708476243905,8.714676917603526,-0.012044429779052734,-0.016360610723495483
lateral raise_036.mp4,lateral raise,48,73.45768283145472,97.241050464691,124.33053821231044,157.7525521809483,13.38223415557196,23.78336763323628,-0.028095483779907227,-0.02440902590751648
lateral raise_036.mp4,lateral raise,51,54.33355916047226,95.2124493657123,98.01285545758412,166.15260577655894,12.678374547584907,40.87889020524004,-0.08508458733558655,-0.07500675320625305
lateral raise_036.mp4,lateral raise,54,44.08153151171659,85.96546120173643,118.32070200109983,164.9125958930726,12.89976349059887,41.88392969001984,-0.12688758969306946,-0.14639624953269958
lateral raise_036.mp4,lateral raise,57,36.20205177709668,80.19489953575534,120.90732577949784,165.63740738300973,14.12790207037644,43.99284775865866,-0.17917871475219727,-0.20740893483161926
lateral raise_036.mp4,lateral raise,60,30.475898517062298,53.945053200022535,119.32111646602853,148.8968778163314,13.751522742225784,23.469154682960237,-0.2183254361152649,-0.25757208466529846
lateral raise_036.mp4,lateral raise,63,24.94822408987514,42.0887259631998,119.00719960874567,143.76359257201725,13.333446078474864,17.14050187332466,-0.24689793586730957,-0.2875429093837738
lateral raise_022.mp4,lateral raise,12,52.812942734573525,18.255750401964548,155.48541786861728,115.65481453549677,4.076763842672595,34.55719233260898,-0.20376819372177124,-0.21090996265411377
lateral raise_022.mp4,lateral raise,15,74.18397803111121,31.74207761141574,163.02658926591735,118.44828896978375,1.5752389275801137,42.44190041969547,-0.11316859722137451,-0.1412982940673828
lateral raise_022.mp4,lateral raise,18,95.16438789551974,57.772966082462425,172.3895018931964,139.3012152547462,1.6595582848808268,37.39142181305731,-0.0052495598793029785,-0.06565797328948975
lateral raise_022.mp4,lateral raise,21,104.41362433249257,93.57073081232231,172.40858181785725,138.56868423026268,2.8175138937529285,10.842893520170264,0.07033953070640564,-0.004672497510910034
lateral raise_022.mp4,lateral raise,24,112.01640603263253,102.69164917031644,173.8908919992753,164.22002257728923,1.428996241543205,9.324756862316093,0.11976753175258636,0.03398984670639038
lateral raise_022.mp4,lateral raise,27,111.85828053945221,101.21728333562675,174.6944548416585,170.52378837016366,2.4189589507236047,10.640997203825464,0.11925327777862549,0.040903180837631226
lateral raise_022.mp4,lateral raise,30,109.23354769609071,96.02429693642469,177.1943686974165,166.2910089573276,3.8592158280887614,13.20925075966602,0.07812801003456116,0.012174516916275024
lateral raise_022.mp4,lateral raise,33,102.42390208706163,77.04419176499484,175.06524655725033,99.36844776079023,4.246074371522136,25.3797103220668,0.009423673152923584,-0.0339091420173645
lateral raise_022.mp4,lateral raise,36,90.75622875840507,46.88782462411158,170.47821507841522,117.33735682827847,5.969736937123749,43.86840413429349,-0.08710053563117981,-0.09450086951255798
lateral raise_022.mp4,lateral raise,39,70.59971188156509,33.52088351173645,162.67649574949849,126.08468117624184,2.565285041266983,37.078828369828635,-0.16091203689575195,-0.1667877733707428
lateral raise_022.mp4,lateral raise,42,50.919996662240145,23.73796868253905,156.35467924208163,122.13539858549687,2.4661528695411685,27.182027979701093,-0.22475013136863708,-0.20914360880851746
lateral raise_11 copy.mp4,lateral raise,21,49.353585483815024,20.42783804391304,144.62426946212133,117.26090121410263,9.997196482504883,28.925747439901983,-0.33479344844818115,-0.2946717441082001
lateral raise_11 copy.mp4,lateral raise,24,59.13528805201382,31.874056039767897,147.1965623366931,106.14102695702019,7.6496673990425155,27.261232012245923,-0.2790742814540863,-0.2333962321281433
lateral raise_11 copy.mp4,lateral raise,27,73.65534509680461,42.395367759463646,154.33870162182777,105.70809241123892,7.088951957481468,31.259977337340963,-0.20431774854660034,-0.17976292967796326
