left_arm_raise_bad,left_arm_raise_good,right_arm_raise_bad,right_arm_raise_good,left_elbow_angle_bad,left_elbow_angle_good,right_elbow_angle_bad,right_elbow_angle_good,torso_lean_bad,torso_lean_good,arm_symmetry_bad,arm_symmetry_good,left_wrist_above_shoulder_bad,left_wrist_above_shoulder_good,right_wrist_above_shoulder_bad,right_wrist_above_shoulder_good
54.639552555239085,47.79521790477603,25.75329988988532,34.41932118477102,137.6129136277759,129.90652379097,118.09137619480867,108.15483702338358,110.43871842705867,87.79752949609932,28.88625266535377,13.37589672000501,-0.0168744325637817,-0.0531167834997177,0.0046179890632629,-0.0478599667549133
43.32169755036725,46.33702707524062,26.44268506734884,33.17620499112823,137.12775323905277,132.28041975303307,114.59200509171286,109.13538217217932,111.08273709364528,89.47440825796369,16.879012483018414,13.16082208411239,-0.0174877047538757,-0.0535626858472824,0.0053577721118927,-0.0471204221248626
42.22824153924765,43.08481788386992,26.326649777923844,31.61131967196149,136.49190533872186,137.98495061135142,112.44570053707832,113.93918736073502,111.43365695266311,90.77491123116552,15.901591761323804,11.473498211908431,-0.0162626206874847,-0.0553163290023803,0.0115098357200622,-0.0420147180557251
38.65882598159477,33.834246764993125,29.386424728189247,34.01757900715748,135.55952983159327,138.54052175096473,112.20684226852684,115.68326114426677,111.3109769886026,91.2175349383857,9.272401253405526,0.1833322421643544,-0.0145053565502166,-0.0554587692022323,0.0113251507282257,-0.0382744073867797
42.780707002318,37.86462719545092,34.23446380029162,34.22666524862627,136.38113621911305,137.71363894310923,110.82873803747192,112.84871662501972,112.50305203485776,91.37464539144902,8.546243202026375,3.637961946824653,-0.0146063566207885,-0.053642451763153,-0.0309964716434478,-0.0374394655227661
34.55339630720292,41.65000018164161,61.31547364457774,35.51830973155648,138.13064143844153,138.56256867472382,113.98251626103784,108.15986197390598,112.49737775068002,91.43969323945343,26.762077337374823,6.131690450085131,-0.0170598328113555,-0.0510084629058837,-0.1170215010643005,-0.0378349125385284
55.632064547611066,45.14422933466385,89.72283380889442,53.80206135093934,134.35289400246444,143.26460350206742,116.3486799953879,99.0773585889346,106.04797676274954,90.9595540310973,34.09076926128336,8.657832016275492,-0.0001211762428283,-0.0250118970870971,-0.1761265993118286,-0.097124308347702
97.81364069027136,41.40185635030868,97.04903449380862,67.70948987575181,156.82900539693324,144.58527840756452,146.96418959119532,111.80768389408637,99.48484534665144,92.46842763136276,0.7646061964627364,26.307633525443137,0.0231841504573822,0.0128326416015625,-0.1990578472614288,-0.1401638686656952
100.48508703936773,56.80996275190401,101.07679623876652,82.79584086148844,143.48990782757397,145.72941718932668,164.81642980847124,114.5490230398886,97.47212170752788,93.6899581232401,0.5917091993988208,25.985878109584437,0.0648981034755706,0.0579334795475006,-0.1759480834007263,-0.1717514395713806
103.82869257197488,86.74641757494533,105.30421499422944,96.59270620062112,149.5060973238048,138.47154012678848,174.0773033242693,147.1289654539752,96.0955994554484,92.27725335224387,1.4755224222545706,9.846288625675784,0.1227601021528244,0.1023296117782592,-0.1375018060207367,-0.1958434283733368
106.14406290643994,91.5434583719036,104.99036689373573,98.6989103613961,158.16283217436643,140.4400825754355,166.05664250656193,165.2472558894135,96.19798294200832,92.77978004038822,1.1536960127042164,7.155451989492491,0.1432552710175514,0.1158376187086105,-0.1329468786716461,-0.1868945062160492
101.5361675734386,95.65464602247545,104.03842276340686,104.77011569928898,150.03258199858223,157.3852251896055,166.39593780423482,167.22729051679994,96.61767929445077,94.11173215396153,2.5022551899682526,9.115469676813532,0.1228176802396774,0.1209790185093879,-0.1237941682338714,-0.176803320646286
93.13864739974088,101.65957548608122,100.44520480449243,100.28459810451466,150.89375739515447,168.05156576510402,154.28217688894068,169.39943580780567,96.76109130311548,95.03246443496045,7.306557404751544,1.3749773815665662,0.0998792946338653,0.1447014659643173,-0.1414611935615539,-0.153920829296112
88.65757119589053,97.93025837999966,104.91714297244997,97.87436381877676,155.49463908180144,158.31414856564,146.6134004787947,164.92713374009966,95.93726139226348,94.5991708565528,16.25957177655944,0.0558945612228996,0.0784010738134384,0.1401949375867843,-0.1745787560939788,-0.1576718389987945
63.71017427327451,91.8577498309576,102.90257475641224,96.62254159520184,126.21253522277968,146.92144217769615,137.97162935619204,152.69599868610166,97.07473486657078,93.03143131068256,39.19240048313774,4.764791764244237,0.0174324363470077,0.1257357522845268,-0.1844545006752014,-0.1640040278434753
52.878546222017086,86.55784537259711,88.26170475868832,98.5994289185535,126.06503423681497,154.6415273405709,111.0771101502747,156.05696329451752,98.52649446995738,92.06060856447702,35.38315853667124,12.041583545956383,-0.017465740442276,0.1144300252199173,-0.1781978011131286,-0.1734524965286255
38.9809038993431,61.67590042178617,69.20036772666087,93.97491705907494,138.13611748452792,156.51645693808405,108.93129444500195,126.52732510493448,98.47546838711284,92.50799155289646,30.21946382731777,32.29901663728877,-0.0307356715202331,0.0940926074981689,-0.1492418050765991,-0.1789788007736206
48.97946235051417,44.01225246461429,33.86024148184174,81.85022339307277,135.0692971387722,152.65370201398588,110.16373180814522,96.656606684804,100.27570373711224,94.50683373686938,15.119220868672429,37.83797092845848,-0.0206097662448883,0.0595469325780868,-0.0977488160133361,-0.1607415080070495
48.08314190855913,37.928799943766165,19.870315745138782,66.06931808396556,136.27021961945067,151.9530607108423,115.51353772811026,109.09288614137893,103.44173940720668,93.67158781716763,28.212826163420345,28.14051814019939,-0.006017655134201,0.0245660245418548,-0.0348223149776458,-0.1381902694702148
